11:31:47.535 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
11:31:47.551 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 JPA repository interfaces.
11:31:47.946 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$566f865d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11:31:47.987 INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
11:31:48.406 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
11:31:48.413 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
11:31:48.415 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:31:48.415 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.76]
11:31:48.538 INFO  o.a.c.c.C.[.[localhost].[/api/v1] - Initializing Spring embedded WebApplicationContext
11:31:48.538 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1821 ms
11:31:48.704 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11:31:48.754 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
11:31:48.916 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
11:31:49.018 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:31:49.408 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:31:49.425 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
11:31:49.682 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
11:31:49.693 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:31:50.340 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4a8d5919, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@27912859, org.springframework.security.web.context.SecurityContextPersistenceFilter@419fa45b, org.springframework.security.web.header.HeaderWriterFilter@4914599f, org.springframework.security.web.authentication.logout.LogoutFilter@38703d45, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2a592ef1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1478392c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@508a7d06, org.springframework.security.web.session.SessionManagementFilter@7800e0e4, org.springframework.security.web.access.ExceptionTranslationFilter@2ee39225, org.springframework.security.web.access.intercept.AuthorizationFilter@2339c918]
11:31:50.348 WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/resources/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
11:31:50.349 INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/resources/**']
11:31:50.497 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
11:31:50.735 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
11:31:50.753 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path '/api/v1'
11:31:50.805 INFO  com.test.api.todo.TodoApplication - Started TodoApplication in 4.727 seconds (JVM running for 5.209)
11:31:56.908 INFO  o.a.c.c.C.[.[localhost].[/api/v1] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:31:56.908 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
11:31:56.910 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
11:34:29.324 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
11:34:29.340 INFO  com.test.api.todo.TodoApplication - Starting TodoApplication using Java 11.0.16.1 on DESKTOP-4CURANV with PID 6916 (C:\Users\wpghk\IdeaProjects\todo\build\classes\java\main started by wpghk in C:\Users\wpghk\IdeaProjects\todo)
11:34:29.341 INFO  com.test.api.todo.TodoApplication - The following 1 profile is active: "local"
11:34:29.382 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
11:34:30.192 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
11:34:30.208 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 JPA repository interfaces.
11:34:30.578 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$5e511a05] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11:34:30.621 INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
11:34:31.071 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
11:34:31.080 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
11:34:31.083 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:34:31.083 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.76]
11:34:31.210 INFO  o.a.c.c.C.[.[localhost].[/api/v1] - Initializing Spring embedded WebApplicationContext
11:34:31.211 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1828 ms
11:34:31.417 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11:34:31.469 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
11:34:31.637 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
11:34:31.745 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:34:32.127 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:34:32.143 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
11:34:32.391 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
11:34:32.402 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:34:32.958 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@41220155, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1007eb51, org.springframework.security.web.context.SecurityContextPersistenceFilter@45cba495, org.springframework.security.web.header.HeaderWriterFilter@3d97870f, org.springframework.security.web.authentication.logout.LogoutFilter@13f6e51d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@213405d1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5f0839b6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@e1a48c5, org.springframework.security.web.session.SessionManagementFilter@244c50f2, org.springframework.security.web.access.ExceptionTranslationFilter@2c31f409, org.springframework.security.web.access.intercept.AuthorizationFilter@78453626]
11:34:32.971 WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/resources/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
11:34:32.971 INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/resources/**']
11:34:33.115 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
11:34:33.372 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
11:34:33.391 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path '/api/v1'
11:34:33.431 INFO  com.test.api.todo.TodoApplication - Started TodoApplication in 4.619 seconds (JVM running for 5.109)
11:34:35.819 INFO  o.a.c.c.C.[.[localhost].[/api/v1] - Initializing Spring DispatcherServlet 'dispatcherServlet'
